Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666454404.915576,0,57605,0,GPS1_FRAME,42.335425,-71.09967833333333,36.1,327022.17245714937,4689154.235556797,19,T
1666454405.913617,0,57606,0,GPS1_FRAME,42.33546833333333,-71.09964666666667,36.0,327024.9001716984,4689158.9829782555,19,T
1666454406.9153795,0,57607,0,GPS1_FRAME,42.33550666666667,-71.09961833333334,36.4,327027.339552936,4689163.181969158,19,T
1666454407.9152906,0,57608,0,GPS1_FRAME,42.335543333333334,-71.09959666666667,36.6,327029.2251196647,4689167.209451131,19,T
1666454408.9148862,0,57609,0,GPS1_FRAME,42.33558166666667,-71.099585,37.1,327030.29139087733,4689171.442345624,19,T
1666454409.914815,0,57610,0,GPS1_FRAME,42.33562166666667,-71.09959333333333,37.6,327029.7145056016,4689175.900993739,19,T
1666454410.913995,0,57611,0,GPS1_FRAME,42.33565333333333,-71.09962666666667,37.1,327027.05511884624,4689179.485142632,19,T
1666454411.916639,0,57612,0,GPS1_FRAME,42.335685,-71.09968333333333,37.6,327022.4733911961,4689183.1167578725,19,T
1666454412.9151368,0,57613,0,GPS1_FRAME,42.335708333333336,-71.09974666666666,36.9,327017.31957844587,4689185.836584682,19,T
1666454413.9154181,0,57614,0,GPS1_FRAME,42.335728333333336,-71.099805,36.1,327012.5685601812,4689188.176102203,19,T
1666454414.9177668,0,57615,0,GPS1_FRAME,42.33574333333333,-71.09985166666667,35.4,327008.7650057463,4689189.936676186,19,T
1666454415.9159107,0,57616,0,GPS1_FRAME,42.33575166666667,-71.09988,34.5,327006.45358389843,4689190.919671453,19,T
1666454416.9200985,0,57617,0,GPS1_FRAME,42.33575333333334,-71.09989,34.0,327005.6342932989,4689191.125086484,19,T
1666454417.9227543,0,57618,0,GPS1_FRAME,42.33575333333334,-71.09989166666666,34.0,327005.4969831803,4689191.128477213,19,T
1666454418.9219005,0,57619,0,GPS1_FRAME,42.33575333333334,-71.099895,33.6,327005.22236294526,4689191.135258679,19,T
1666454419.9161317,0,57620,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454420.9212852,0,57621,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454421.9206982,0,57622,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454422.9205992,0,57623,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454423.9221096,0,57624,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454424.9216576,0,57625,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454425.915467,0,57626,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454426.9155416,0,57627,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454427.9163334,0,57628,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454428.9206908,0,57629,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454429.9208593,0,57630,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454430.9215617,0,57631,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454431.9205484,0,57632,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454432.9150126,0,57633,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454433.914727,0,57634,0,GPS1_FRAME,42.33575333333334,-71.09989833333333,33.3,327004.9477427101,4689191.142040156,19,T
1666454434.9212177,0,57635,0,GPS1_FRAME,42.33575166666667,-71.09989833333333,33.3,327004.943172567,4689190.956969443,19,T
1666454435.9223876,0,57636,0,GPS1_FRAME,42.33575166666667,-71.09989833333333,33.3,327004.943172567,4689190.956969443,19,T
1666454436.9201956,0,57637,0,GPS1_FRAME,42.33575166666667,-71.09989833333333,33.3,327004.943172567,4689190.956969443,19,T
1666454437.9201758,0,57638,0,GPS1_FRAME,42.33575166666667,-71.09989833333333,33.3,327004.943172567,4689190.956969443,19,T
1666454438.9203832,0,57639,0,GPS1_FRAME,42.33575166666667,-71.09989833333333,33.3,327004.943172567,4689190.956969443,19,T
1666454439.9206476,0,57640,0,GPS1_FRAME,42.33575166666667,-71.09989833333333,33.3,327004.943172567,4689190.956969443,19,T
1666454440.9204226,0,57641,0,GPS1_FRAME,42.33575166666667,-71.09989833333333,33.3,327004.943172567,4689190.956969443,19,T
1666454441.9205143,0,57642,0,GPS1_FRAME,42.33575166666667,-71.09989166666666,33.1,327005.4924130517,4689190.9434065,19,T
1666454442.9211953,0,57643,0,GPS1_FRAME,42.33575166666667,-71.09989166666666,33.1,327005.4924130517,4689190.9434065,19,T
1666454443.9154127,0,57644,0,GPS1_FRAME,42.33575166666667,-71.09989166666666,33.1,327005.4924130517,4689190.9434065,19,T
1666454444.920034,0,57645,0,GPS1_FRAME,42.33575166666667,-71.09989166666666,33.1,327005.4924130517,4689190.9434065,19,T
1666454445.9161005,0,57646,0,GPS1_FRAME,42.33575166666667,-71.09989166666666,33.1,327005.4924130517,4689190.9434065,19,T
